마아,162,165
카나,123,149
나하,85,175
가하,104,174
파카,66,144
차다,66,150
카라,137,146
나타,179,189
사아,43,179
가나,152,174
카차,54,171
다마,56,173
나하,146,149
파라,116,162
파아,164,181
나바,64,192
나라,101,199
차파,41,175
사파,90,153
아하,153,142
가차,134,146
카파,114,147
가사,146,148
파바,90,187
나나,67,150
파가,151,150
다다,131,170
나가,160,151
하타,86,147
마파,114,173
나마,105,151
하바,176,168
사타,80,176
차라,155,158
가마,97,177
아바,132,174
카파,75,159
사하,155,176
아바,162,152
파나,103,172
아카,106,180
파아,131,142
마라,112,159
마하,185,153
아사,67,168
마사,112,182
카아,121,159
사다,75,162
나아,72,192
하하,162,199
다하,61,160
파바,79,199
나사,75,194
라마,59,182
하아,60,145
차차,115,140
차사,82,162
나다,162,164
하사,101,167
사마,120,186
바다,156,142
마다,165,142
타카,157,179
라아,166,167
아하,159,198
바하,71,186
다라,130,147
가차,62,182
타가,132,157
파차,129,154
하파,96,169
가나,116,146
다하,95,143
타파,71,147
가카,44,192
타가,161,173
파파,56,196
바타,118,168
라카,129,173
나타,173,199
파가,135,167
가사,108,169
바다,138,193
사카,166,168
카마,181,189
파가,51,167
하라,176,164
가가,116,156
다차,124,194
가마,112,164
카사,154,182
파다,147,142
카차,40,188
가마,94,161
나나,132,159
하하,116,189
카라,43,171
카차,124,179
차라,133,195
아차,70,198
다차,42,160
하사,145,174
나마,167,193
차사,155,155
마차,140,147
라차,138,161
아다,103,180
타바,85,199
가바,117,194
차타,132,161
아바,161,183
사다,75,183
가차,162,182
마다,42,167
마파,47,163
파사,56,153
마라,140,180
아아,154,199
나파,92,176
다나,183,144
마나,78,166
다마,73,191
차바,113,169
아나,109,154
타차,77,157
라파,89,156
라하,153,182
나파,68,163
나카,94,141
다카,57,198
사차,40,149
아파,127,195
사차,120,199
마라,65,161
라타,113,195
아마,43,186
파파,147,153
사다,99,149
마아,170,175
바파,65,150
차나,42,153
다가,173,141
바라,62,173
나카,90,169
라나,129,153
라카,170,174
파마,110,154
라마,78,187
하아,186,164
나차,180,192
파사,130,160
하하,126,140
마사,42,167
마마,88,180
아아,46,160
하사,81,193
아다,142,187
마다,61,143
가카,60,159
타파,90,143
사가,125,184
다파,143,158
차나,88,153
사차,83,160
마바,115,149
하차,172,157
하차,161,186
라사,157,179
차라,131,193
다타,137,178
가타,94,141
사마,112,182
마카,99,173
라다,138,146
하바,46,199
사나,162,147
다라,68,175
마카,48,163
가라,92,156
파마,145,150
카아,78,185
하카,86,189
차차,47,180
타마,87,199
파나,58,168
사다,143,165
파차,175,174
라타,111,197
바마,129,197
마파,137,150
아파,45,173
사라,45,170
나사,106,159
카차,54,164
타차,72,181
파마,78,177
나하,127,140
마라,79,155
나바,155,177
라차,133,165
하바,94,196
마가,187,159
사하,152,150
마하,84,183
아카,160,166
라차,85,194
하사,64,166
사하,80,183
다타,76,193
아차,144,176
하바,64,185
파나,81,147
카차,117,159
파바,104,194
마라,61,173
가사,92,141
라차,166,141
타라,119,176
바라,139,150
타마,66,144
사차,49,156
아파,123,195
사바,153,194
라다,156,177
라타,118,166
마아,150,197
마나,180,180
카파,45,190
라바,66,162
마가,68,199
라아,127,158
가가,124,197
마파,76,157
파카,155,146
마파,70,143
바나,93,146
파나,123,161
사마,46,187
파가,123,198
하라,74,141
하차,91,151
하마,100,168
마파,121,148
나카,61,156
바차,57,141
파파,183,143
카카,140,187
바나,167,155
하사,82,158
아카,158,197
바사,171,158
차다,175,192
아가,128,191
타타,148,149
파카,176,165
카카,130,160
마파,55,180
바가,143,187
파차,123,189
차사,116,186
나마,150,184
바바,45,142
마파,64,195
파가,52,178
바마,180,181
카파,82,170
파차,138,182
라파,136,148
마파,140,162
타사,162,171
파나,164,152
파카,124,144
하가,61,148
파하,70,141
하마,79,178
카다,180,155
사파,177,169
파라,104,145
라타,75,171
바바,139,150
하카,67,159
가다,64,189
마타,169,155
라다,136,162
다아,154,175
다다,72,141
나파,160,146
하차,100,153
마바,179,190
카라,46,169
사차,95,142
다사,103,193
라나,131,173
파사,69,145
아라,106,148
마가,113,149
차카,145,156
타마,149,168
라나,46,195
아하,147,184
파나,184,162
가가,60,147
라타,138,153
아바,90,145
마다,151,155
마하,181,146
타하,102,143
마라,132,159
가하,165,178
카나,113,149
다나,91,145
사라,85,199
차가,162,159
라하,157,154
카타,147,147
가다,47,154
나사,150,179
타가,146,142
타나,63,146
나차,146,160
다파,167,144
다아,92,158
타가,177,176
다타,47,141
다하,88,177
사차,162,195
파하,152,175
아하,148,193
마나,79,145
마바,175,168
차하,146,195
사차,90,164
다파,119,189
마다,186,156
차마,154,163
가파,101,163
하다,42,157
파차,154,191
가마,171,195
사사,123,187
아다,68,143
가카,121,143
하아,153,150
마카,85,143
아나,170,153
타차,72,187
타하,70,153
나파,158,180
파다,55,160
차타,127,185
사타,111,153
라마,44,180
다라,125,142
마파,56,152
차라,84,183
하다,162,180
카카,118,192
아마,58,170
파카,175,165
다다,158,176
바파,40,195
아가,180,179
나하,45,142
파마,160,142
나파,125,155
가하,118,189
카아,88,148
다나,183,149
타아,174,187
차하,93,169
마나,157,186
하타,143,143
라카,88,147
차다,59,157
가사,42,191
카가,145,155
라나,154,152
아차,109,147
하아,63,166
나사,140,168
나타,180,176
사다,182,190
바나,92,164
마나,147,150
차라,124,188
하다,130,170
하카,114,188
하하,173,193
가아,142,155
파바,117,144
나가,108,171
타아,128,141
마바,44,146
라다,154,141
라타,116,172
사하,184,178
하가,79,165
가나,109,172
아파,122,170
카사,94,178
차마,40,198
마카,181,144
가차,162,167
라아,172,165
마카,153,187
하파,52,155
다카,67,182
다나,71,152
나타,144,168
하사,142,160
바마,141,165
차가,173,173
하라,167,165
파하,115,199
아사,67,181
다타,137,140
타타,83,148
하라,140,170
타하,64,159
다하,83,167
하가,67,175
마차,142,196
가타,45,158
타사,90,172
하타,141,189
바타,119,163
타바,127,150
나가,179,145
사카,104,190
아하,61,144
가라,151,147
마마,148,174
라마,62,172
카아,92,171
가라,57,172
마가,113,165
하카,140,167
파타,110,198
라아,168,192
카타,78,155
아사,176,183
사타,180,140
차바,125,176
라타,168,190
카카,98,156
사마,125,175
마타,160,188
파파,70,155
바다,139,190
아카,141,169
가마,123,143
마타,106,182
나차,63,157
가차,151,197
파나,125,192
타하,144,142
파차,67,191
라카,143,193
파카,82,186
다바,145,149
사마,84,160
마사,132,194
카라,75,198
하하,52,150
다파,88,173
다파,97,147
하라,109,153
가다,134,171
가나,40,190
마라,184,147
사바,50,165
하바,122,142
마카,178,175
다카,147,195
바차,186,166
마파,52,179
파타,166,161
차타,112,140
나카,106,140
카타,68,140
마라,77,197
사타,157,161
하차,84,184
아라,60,195
타카,91,199
가아,93,141
다사,51,140
가카,127,176
타파,172,149
사바,51,148
나가,151,150
타파,116,144
가마,48,177
나마,176,189
바다,136,146
마나,163,182
타타,57,153
하타,100,148
하파,97,176
가아,150,177
차라,152,156
차차,70,198
아타,140,179
라파,42,190
파차,133,154
하차,170,167
라아,58,164
타타,80,191
나다,166,142
파하,49,151
하하,171,194
차바,144,188
나파,165,175
가나,155,146
다가,150,160
파타,70,142
마나,49,174
나사,87,172
라바,52,146
하파,49,190
카바,108,187
가파,176,182
타하,130,160
바다,169,156
다바,102,169
나마,154,186
하카,104,171
라라,97,140
차나,154,194
바카,73,152
바타,122,148
아카,176,181
가사,126,155
가사,127,157
타타,141,152
라사,83,180
타다,67,183
다사,152,154
마나,79,155
타차,180,170
카마,66,142
파타,44,180
사파,59,191
바아,85,151
가가,172,199
다하,180,158
사카,72,180
파아,156,197
라마,92,190
사마,80,165
타파,167,164
사파,40,164
카차,166,187
나마,158,143
차카,137,178
아아,124,173
가하,62,175
타차,98,181
사사,52,163
타타,59,166
차라,42,179
다파,186,161
나사,180,172
바차,128,189
파라,110,188
타다,61,167
파마,90,152
나가,150,147
나사,168,175
바라,41,178
타나,170,142
카가,90,160
하차,78,145
하파,74,198
라다,119,174
라사,43,186
차가,107,141
차카,181,146
타타,88,165
라나,105,158
타가,166,178
가하,150,185
가마,67,140
카차,179,141
가다,99,164
차사,159,157
마나,79,166
파타,136,170
사카,120,153
바사,48,187
아카,55,152
파하,136,163
차가,101,192
파타,181,175
라파,141,170
바나,135,167
가파,81,146
타가,54,149
마아,78,194
카하,152,163
라차,148,170
나파,48,140
가나,101,198
라마,137,171
카카,111,148
바파,141,141
아아,71,150
사카,56,166
마다,98,149
사파,127,180
파다,105,195
나라,112,176
타마,97,188
파라,133,170
라다,79,145
라라,174,151
하차,119,161
카가,64,142
라사,43,153
가파,182,185
가라,90,175
나타,170,181
가타,100,156
라라,134,148
아차,173,185
바나,74,172
마나,59,172
나바,124,199
하가,166,170
마다,126,158
마타,186,199
나차,97,163
아타,131,141
가라,129,170
라나,166,160
파하,153,140
바라,61,176
마라,75,192
파마,92,192
사사,91,192
나파,96,159
차나,106,166
타나,182,163
카타,70,199
가파,142,172
타나,74,187
마파,183,179
차사,115,163
바바,132,167
차가,50,164
라파,96,198
라가,153,191
마다,45,159
가가,174,187
아마,92,189
나마,163,157
타사,65,140
차아,148,150
하카,95,187
아가,153,165
타카,106,166
차카,54,142
차사,48,175
차타,173,164
아아,144,196
마바,102,147
다라,176,176
마마,130,197
아다,162,197
차나,89,169
마파,172,164
마라,151,196
바타,86,174
나아,160,169
가카,154,140
가타,60,152
다마,135,147
바파,74,165
바차,50,140
파나,56,170
라차,124,186
아가,185,155
바마,67,191
바차,74,142
다타,119,181
가아,82,163
하사,120,183
마카,109,172
아파,161,198
마아,94,154
바카,88,150
사바,87,183
아다,89,193
하라,146,197
다카,127,176
가타,169,185
나마,113,162
차카,76,192
바파,168,146
파사,114,172
가타,78,154
아아,174,186
차아,129,171
라사,170,147
타아,87,149
나타,58,148
가다,182,188
사타,143,165
하가,115,157
차사,147,178
바가,132,157
하바,60,181
파차,126,150
차아,131,166
차타,79,167
라다,44,164
차파,80,177
차라,55,196
나차,73,197
하차,119,156
마파,83,186
다파,184,155
카다,135,170
카타,187,165
가하,177,172
나타,46,180
카다,162,173
바다,170,157
가차,158,161
사사,73,187
차가,57,183
아아,165,180
바마,144,140
하마,129,176
차차,69,146
타차,43,173
차하,136,164
사가,74,173
파마,129,184
사타,131,192
사파,100,164
파나,150,184
바파,45,172
차바,59,174
라마,77,143
아다,109,192
하사,63,180
아차,47,165
다마,139,155
라마,110,163
나가,166,164
라가,68,192
가차,101,150
카라,111,193
라다,76,188
나차,46,183
나차,116,142
카파,177,187
아차,41,157
마가,87,147
차차,165,189
하파,71,196
차아,79,176
차타,90,171
바타,46,170
파라,118,143
나사,48,152
하파,150,179
가다,146,153
차하,132,184
아타,149,198
파파,50,153
다카,169,147
카나,64,186
카가,51,145
아차,85,141
마나,158,181
다하,129,148
아사,142,178
파사,101,148
차타,137,165
카카,152,164
가아,60,147
사아,67,157
카아,94,155
가차,60,199
파하,156,184
나파,78,168
타하,151,168
라파,150,172
사카,128,158
다바,92,144
다나,55,199
아다,131,186
파가,154,140
가카,64,188
다파,71,143
라파,64,196
타타,115,158
하파,128,199
파아,156,145
타나,141,141
라아,170,172
아사,181,198
아마,160,142
사마,104,192
사다,163,168
다하,176,156
카아,48,179
나아,66,173
바나,53,181
라가,93,190
가마,170,148
다차,91,160
마마,55,176
가다,154,162
아가,81,154
나하,107,149
마가,43,157
사사,44,191
하바,58,142
마마,57,175
나타,155,150
사파,133,160
카마,132,169
하라,42,194
타아,120,144
타하,96,180
아차,67,151
사나,53,188
사사,128,161
다바,184,172
나바,92,171
카다,183,199
바바,157,184
라가,107,160
하바,110,187
나가,145,151
타파,177,181
마아,113,154
바마,96,144
마마,149,180
바파,62,157
하마,153,143
아라,104,155
차나,106,164
가카,56,172
사사,154,195
사다,129,148
다하,138,168
나타,125,189
라다,149,186
차타,123,161
파사,87,181
다가,48,163
차나,107,147
바나,138,199
마사,157,170
하차,112,154
다다,80,198
하나,186,184
타다,93,196
파하,127,172
차타,139,143
사차,60,143
라하,102,151
바사,144,190
다나,132,152
사마,61,161
가다,153,159
마다,92,165
가가,138,161
바차,168,190
나차,114,186
사다,158,141
아차,150,147
마아,90,144
마파,143,159
차가,158,197
차차,185,147
라카,185,199
나라,78,188
타차,103,166
타나,90,167
나나,186,192
다차,113,182
나나,115,184
다파,119,161
사가,177,174
라아,163,159
파라,85,144
다라,41,195
타다,43,140
파마,136,162
카라,66,164
라마,155,190
나사,61,181
나라,161,175
파라,166,176
나사,55,159
라차,160,198
사라,163,145
가가,66,148
카아,128,187
마파,40,194
차파,187,173
다파,87,146
타나,181,145
나타,97,194
바타,99,199
카차,169,161
파타,164,192
타마,167,174
다바,79,150
파라,103,181
차가,160,147
바파,65,189
라하,97,155
사파,86,190
사라,56,141
카라,155,168
파아,177,198
사사,152,189
하바,144,169
가카,100,193
다아,40,148
사차,142,157
사다,129,150
하아,93,181
가나,145,179
나차,150,178
타다,71,181
아나,64,191
파파,185,180
차타,90,180
아차,78,148
다차,109,168
마차,139,181
바마,152,158
다마,136,160
아다,113,158
카나,177,189
아라,55,152
가하,142,165
파나,134,198
다카,113,179
가아,174,145
아타,174,140
타사,159,198
사다,135,163
사나,95,155
라라,53,192
사사,184,167
나차,127,173
타나,110,174
차차,75,181
타타,53,194
가하,78,191
다타,159,170
카마,67,185
가나,111,197
사사,167,197
라나,182,183
하카,128,187
다파,181,176
바아,51,186
바마,129,158
아사,73,154
아라,144,164
아라,103,154
파카,165,158
아다,79,145
하다,183,193
다차,114,141
다하,124,175
바차,159,158
라차,40,146
나하,140,158
카카,65,156
차나,124,159
파차,163,172
